-- run 1 events --
class          start      dur     rest
  0 (class)    46.75     1.50     0.03
  0 (class)    48.28     1.50     0.43
  0 (class)    50.21     1.50     0.44
  0 (class)    52.15     1.50     0.45
  0 (class)    54.10     1.50     0.19
  0 (class)    55.79     1.50     0.38
  0 (class)    57.67     1.50     0.44
  0 (class)    59.61     1.50     0.12
  0 (class)    61.23     1.50     0.40
  0 (class)    63.13     1.50     0.33
  0 (class)    64.96     1.50     0.41
  0 (class)    66.87     1.50     0.24
  0 (class)    68.61     1.50     0.11
  0 (class)    70.22     1.50     0.17
  0 (class)    71.89     1.50     0.20
  0 (class)    73.59     1.50     0.30
  0 (class)    75.39     1.50     0.46
  0 (class)    77.35     1.50     0.23
  0 (class)    79.08     1.50     0.09
  0 (class)    80.67     1.50     0.42
  0 (class)    82.59     1.50     0.38
  0 (class)    84.47     1.50     0.29
  0 (class)    86.26     1.50     0.29
  0 (class)    88.05     1.50     0.35
  0 (class)    89.90     1.50     0.18
  0 (class)    91.58     1.50     0.10
  0 (class)    93.18     1.50     0.30
  0 (class)    94.98     1.50     0.27
  0 (class)    96.75     1.50     0.44
  0 (class)    98.69     1.50     0.09
  0 (class)   100.28     1.50     0.32
  0 (class)   102.10     1.50     0.21
  0 (class)   103.81     1.50     0.36
  0 (class)   105.67     1.50     0.50
  0 (class)   107.67     1.50     0.00
  0 (class)   109.17     1.50     0.17
  0 (class)   110.84     1.50     0.48
  0 (class)   112.82     1.50     0.17
  0 (class)   114.49     1.50     0.50
  0 (class)   116.49     1.50     0.13
  0 (class)   118.12     1.50     0.25
  0 (class)   119.87     1.50     0.11
  0 (class)   121.48     1.50     0.31
  0 (class)   123.29     1.50     0.30
  0 (class)   125.09     1.50     0.33
  0 (class)   126.92     1.50     0.37
  0 (class)   128.79     1.50     0.44
  0 (class)   130.73     1.50     0.32
  0 (class)   132.55     1.50     0.39
  0 (class)   134.44     1.50     0.20
  0 (class)   136.14     1.50     0.38
  0 (class)   138.02     1.50     0.05
  0 (class)   139.57     1.50     0.47
  0 (class)   141.54     1.50     0.40
  0 (class)   143.44     1.50     0.45
  0 (class)   145.39     1.50     0.21
  0 (class)   147.10     1.50     0.38
  0 (class)   148.98     1.50     0.46
  0 (class)   150.94     1.50     0.33
  0 (class)   152.77     1.50     0.06
  0 (class)   154.33     1.50     0.43
  0 (class)   156.26     1.50     0.32
  0 (class)   158.08     1.50     0.00
  0 (class)   159.58     1.50     0.40
  0 (class)   161.48     1.50     0.27
  0 (class)   163.25     1.50     0.04
  0 (class)   164.79     1.50     0.30
  0 (class)   166.59     1.50     0.26
  0 (class)   168.35     1.50     0.46
  0 (class)   170.31     1.50     0.34
  0 (class)   172.15     1.50     0.16
  0 (class)   173.81     1.50     0.08
  0 (class)   175.39     1.50     0.37
  0 (class)   177.26     1.50     0.34
  0 (class)   179.10     1.50     0.47
  0 (class)   181.07     1.50     0.46
  0 (class)   183.03     1.50     0.39
  0 (class)   184.92     1.50     0.44
  0 (class)   186.86     1.50     0.12
  0 (class)   188.48     1.50     0.36
  0 (class)   190.34     1.50     0.24
  0 (class)   192.08     1.50     0.45
  0 (class)   194.03     1.50     0.13
  0 (class)   195.66     1.50     0.45
  0 (class)   197.61     1.50     0.25
  0 (class)   199.36     1.50     0.40
  0 (class)   201.26     1.50     0.47
  0 (class)   203.23     1.50     0.08
  0 (class)   204.81     1.50     0.36
  0 (class)   206.67     1.50     0.45
  0 (class)   208.62     1.50     0.14
